Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-08-10,167.02,167.12,164.71,165.48,70170500
2022-08-11,166.28,168.74,165.98,167.83,57149200
2022-08-12,169.84,169.91,167.18,167.59,68039400
2022-08-15,170.92,171.11,169.1,169.27,54091700
2022-08-16,170.76,171.43,169.41,170.51,56377100
2022-08-17,172.26,173.84,170.3,170.5,79542000
2022-08-18,171.86,172.6,170.85,171.47,62290100
2022-08-19,169.27,171.46,169.06,170.76,70346300
2022-08-22,165.37,167.63,164.95,167.46,69026800
2022-08-23,165.03,166.49,164.46,164.89,54147100
2022-08-24,165.33,165.9,164.07,165.12,53841500
2022-08-25,167.8,167.91,166.14,166.56,51218200
2022-08-26,161.47,168.8,161.41,168.33,78961000
2022-08-29,159.26,160.76,157.72,159.03,73314000
2022-08-30,156.82,160.43,155.65,160.0,77906200
2022-08-31,155.16,158.47,155.08,158.21,87991100
2022-09-01,155.89,156.34,152.64,154.58,74229900
2022-09-02,153.76,158.25,152.94,157.65,76957800
2022-09-06,152.5,155.03,151.67,154.42,73714800
2022-09-07,153.91,154.61,151.59,152.79,87449600
2022-09-08,152.43,154.31,150.68,152.61,84923800
2022-09-09,155.3,155.75,152.72,153.43,68028800
2022-09-12,161.28,162.1,157.21,157.49,104956000
2022-09-13,151.82,158.43,151.36,157.8,122656600
2022-09-14,153.27,155.04,151.59,152.76,87965400
2022-09-15,150.37,153.2,149.39,152.62,90481100
2022-09-16,148.72,149.36,146.42,149.22,162278800
2022-09-19,152.45,152.53,147.14,147.35,81474200
2022-09-20,154.84,156.0,151.07,151.39,107689800
2022-09-21,151.7,156.66,151.58,155.27,101696800
2022-09-22,150.73,152.44,148.93,150.38,86652500
2022-09-23,148.45,149.48,146.61,149.2,96029900
2022-09-26,148.79,151.75,147.68,147.69,93339400
2022-09-27,149.77,152.69,147.98,150.73,84442700
2022-09-28,147.87,148.66,142.94,145.7,146691400
2022-09-29,140.61,144.79,138.83,144.18,128138200
2022-09-30,136.39,141.22,136.19,139.42,124925300
2022-10-03,140.58,141.19,135.88,136.4,114311700
2022-10-04,144.18,144.3,142.37,143.13,87830100
2022-10-05,144.48,145.44,141.13,142.18,79471000
2022-10-06,143.52,145.6,143.31,143.9,68402200
2022-10-07,138.25,141.22,137.62,140.67,85925600
2022-10-10,138.58,140.03,136.75,138.58,74899000
2022-10-11,137.16,139.49,136.41,138.06,77033700
